lessonName,lessonTime,lessonClass,lessonTeacher,lessonDay,groupName,podGroup,numerator,id
пр.Философия,11.50-13.25 ,46,Черниговских И.В.,ПЯТНИЦА     ,У-204,2,0,6639
пр.Философия,11.50-13.25 ,46,Черниговских И.В.,ПЯТНИЦА     ,У-204,2,1,6640
пр.Математика,13.35-15.10 ,207,Андреев Д.Г.,ПЯТНИЦА     ,У-204,2,1,6641
л.Экология,15.20-16.55 ,37,Студеникина Л.Н.,ПЯТНИЦА     ,У-204,2,1,6642
л.Философия,09.45-11.20 ,452,Черниговских И.В.,ПОНЕДЕЛЬНИК ,У-205,1,1,6643
"Элективные дисциплины (курсы) по физической культуре и спорту, общая физическая подготовка",11.50-13.25 ,-,-,ПОНЕДЕЛЬНИК ,У-205,1,0,6644
"Элективные дисциплины (курсы) по физической культуре и спорту, общая физическая подготовка",11.50-13.25 ,-,-,ПОНЕДЕЛЬНИК ,У-205,1,1,6645
"л.Вычислительные системы, сети и телекоммуникации",13.35-15.10 ,404,Ивлиев М.Н.,ПОНЕДЕЛЬНИК ,У-205,1,0,6646
л.Математика,15.20-16.55 ,201,Чернышов А.Д.,ПОНЕДЕЛЬНИК ,У-205,1,0,6647
пр.Иностранный язык,08.00-09.35 ,10и,Мякушкина О.В.,ВТОРНИК     ,У-205,1,0,6648
пр.Иностранный язык,08.00-09.35 ,10и,Мякушкина О.В.,ВТОРНИК     ,У-205,1,1,6649
л.Системы управления предприятием (ERP),09.45-11.20 ,334,Гладких Т.В.,ВТОРНИК     ,У-205,1,0,6650
л.Системы управления предприятием (ERP),09.45-11.20 ,334,Гладких Т.В.,ВТОРНИК     ,У-205,1,1,6651
пр.Философия,11.50-13.25 ,410,Черниговских И.В.,ВТОРНИК     ,У-205,1,0,6652
пр.Философия,11.50-13.25 ,410,Черниговских И.В.,ВТОРНИК     ,У-205,1,1,6653
пр.Основы проектного обучения,13.35-15.10 ,020,Лыгина Л.В., СРЕДА      ,У-205,1,1,6654
пр.Математика,15.20-16.55 ,225,Андреев Д.Г., СРЕДА      ,У-205,1,1,6655
пр.Иностранный язык,17.05-18.40 ,2и,Полозова С.В., СРЕДА      ,У-205,1,1,6656
л.Алгоритмизация и программирование,09.45-11.20 ,334,Черняева С.Н.,ЧЕТВЕРГ     ,У-205,1,0,6657
пр.Иностранный язык,09.45-11.20 ,11и,Полозова С.В.,ЧЕТВЕРГ     ,У-205,1,1,6658
л.Информационные системы и технологии,11.50-13.25 ,401,Коробова Л.А.,ЧЕТВЕРГ     ,У-205,1,0,6659
л.Информационные системы и технологии,11.50-13.25 ,401,Коробова Л.А.,ЧЕТВЕРГ     ,У-205,1,1,6660
пр.Мод. инф. и тех. проц.,13.35-15.10 ,332,Литвинов Д.А.,ЧЕТВЕРГ     ,У-205,1,0,6661
пр.ИСиТ,13.35-15.10 ,339,Толстова И.С.,ЧЕТВЕРГ     ,У-205,1,1,6662
"пр.Выч. системы, сети",15.20-16.55 ,332,Зайцева М.А.,ЧЕТВЕРГ     ,У-205,1,0,6663
л.Моделирование информационных и технологических процессов,09.45-11.20 ,334,Даценко Н.В.,ПЯТНИЦА     ,У-205,1,0,6664
л.Основы проектного обучения,09.45-11.20 ,37,Лыгина Л.В.,ПЯТНИЦА     ,У-205,1,1,6665
пр.СУ предпр. (ERP),11.50-13.25 ,337,Гладких Т.В.,ПЯТНИЦА     ,У-205,1,0,6666
пр.Алг. и программир.,11.50-13.25 ,339,Черняева С.Н.,ПЯТНИЦА     ,У-205,1,1,6667
пр.ИСиТ,13.35-15.10 ,339,Толстова И.С.,ПЯТНИЦА     ,У-205,1,0,6668
